[2021-05-08 14:40:23,598] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 14:40:26,825] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56031]
[2021-05-08 14:46:53,190] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 14:46:56,147] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56105]
[2021-05-08 14:48:06,059] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 14:48:10,180] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56107]
[2021-05-08 15:46:20,064] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 15:46:23,692] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56370]
[2021-05-08 15:46:44,433] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 15:46:46,235] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56374]
[2021-05-08 15:46:51,586] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56375]
[2021-05-08 15:48:08,869] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 15:48:20,250] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56386]
[2021-05-08 15:49:52,396] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56388]
[2021-05-08 15:53:01,576] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 15:53:04,154] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56400]
[2021-05-08 16:00:59,121] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 16:01:38,244] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56437]
[2021-05-08 16:04:13,054] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 16:04:17,892] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56443]
[2021-05-08 16:07:47,917] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 16:07:57,215] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56458]
[2021-05-08 16:08:45,901] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 16:08:48,477] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:56460]
[2021-05-08 18:02:52,880] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 18:02:59,777] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58278]
[2021-05-08 18:05:16,216] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 18:05:19,624] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58290]
[2021-05-08 18:06:08,467] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-08 18:06:12,185] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58299]
[2021-05-08 18:06:35,879] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58300]
[2021-05-08 18:13:44,467] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10874]
[2021-05-08 18:13:47,908] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58516]
[2021-05-08 18:14:35,176] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10875]
[2021-05-08 18:14:38,445] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58523]
